"Time","Current power/SENSOR"
2023-04-09 04:10:50,0.00 A
2023-04-09 04:11:00,0.00 A
2023-04-09 04:11:10,0.00 A
2023-04-09 04:11:20,0.00 A
2023-04-09 04:11:30,0.00 A
2023-04-09 04:11:40,0.00 A
2023-04-09 04:11:50,0.00 A
2023-04-09 04:12:00,0.00 A
2023-04-09 04:12:10,0.00 A
2023-04-09 04:12:20,0.00 A
2023-04-09 04:12:30,0.00 A
2023-04-09 04:12:40,0.00 A
2023-04-09 04:12:50,0.00 A
2023-04-09 04:13:00,0.00 A
2023-04-09 04:13:10,0.00 A
2023-04-09 04:13:20,95.00 mA
2023-04-09 04:13:30,96.00 mA
2023-04-09 04:13:40,96.00 mA
2023-04-09 04:13:50,95.00 mA
2023-04-09 04:14:00,95.00 mA
2023-04-09 04:14:10,95.00 mA
2023-04-09 04:14:20,96.00 mA
2023-04-09 04:14:30,96.00 mA
2023-04-09 04:14:40,96.00 mA
2023-04-09 04:14:50,83.00 mA
2023-04-09 04:15:00,297.00 mA
2023-04-09 04:15:10,280.00 mA
2023-04-09 04:15:20,291.00 mA
2023-04-09 04:15:30,292.00 mA
2023-04-09 04:15:40,287.00 mA
2023-04-09 04:15:50,307.00 mA
2023-04-09 04:16:00,309.00 mA
2023-04-09 04:16:10,305.00 mA
2023-04-09 04:16:20,308.00 mA
2023-04-09 04:16:30,306.00 mA
2023-04-09 04:16:40,311.00 mA
2023-04-09 04:16:50,320.00 mA
2023-04-09 04:17:00,309.00 mA
2023-04-09 04:17:10,306.00 mA
2023-04-09 04:17:20,318.00 mA
2023-04-09 04:17:30,301.00 mA
2023-04-09 04:17:40,310.00 mA
2023-04-09 04:17:50,315.00 mA
2023-04-09 04:18:00,318.00 mA
2023-04-09 04:18:10,309.00 mA
2023-04-09 04:18:20,315.00 mA
2023-04-09 04:18:30,305.00 mA
2023-04-09 04:18:40,315.00 mA
2023-04-09 04:18:50,304.00 mA
2023-04-09 04:19:00,318.00 mA
2023-04-09 04:19:10,323.00 mA
2023-04-09 04:19:20,320.00 mA
2023-04-09 04:19:30,314.00 mA
2023-04-09 04:19:40,313.00 mA
