"Time","Current power/SENSOR"
2023-04-10 02:16:30,0.00 A
2023-04-10 02:16:40,0.00 A
2023-04-10 02:16:50,0.00 A
2023-04-10 02:17:00,0.00 A
2023-04-10 02:17:10,65.00 mA
2023-04-10 02:17:20,59.00 mA
2023-04-10 02:17:30,57.00 mA
2023-04-10 02:17:40,56.00 mA
2023-04-10 02:17:50,53.00 mA
2023-04-10 02:18:00,52.00 mA
2023-04-10 02:18:10,53.00 mA
2023-04-10 02:18:20,52.00 mA
2023-04-10 02:18:30,51.00 mA
2023-04-10 02:18:40,51.00 mA
2023-04-10 02:18:50,50.00 mA
2023-04-10 02:19:00,51.00 mA
2023-04-10 02:19:10,51.00 mA
2023-04-10 02:19:20,50.00 mA
2023-04-10 02:19:30,50.00 mA
2023-04-10 02:19:40,50.00 mA
2023-04-10 02:19:50,49.00 mA
2023-04-10 02:20:00,50.00 mA
2023-04-10 02:20:10,49.00 mA
2023-04-10 02:20:20,48.00 mA
2023-04-10 02:20:30,48.00 mA
2023-04-10 02:20:40,48.00 mA
2023-04-10 02:20:50,67.00 mA
2023-04-10 02:21:00,72.00 mA
2023-04-10 02:21:10,70.00 mA
2023-04-10 02:21:20,69.00 mA
2023-04-10 02:21:30,70.00 mA
2023-04-10 02:21:40,53.00 mA
2023-04-10 02:21:50,51.00 mA
2023-04-10 02:22:00,49.00 mA
2023-04-10 02:22:10,48.00 mA
2023-04-10 02:22:20,52.00 mA
2023-04-10 02:22:30,56.00 mA
2023-04-10 02:22:40,47.00 mA
2023-04-10 02:22:50,44.00 mA
2023-04-10 02:23:00,43.00 mA
2023-04-10 02:23:10,44.00 mA
2023-04-10 02:23:20,46.00 mA
2023-04-10 02:23:30,42.00 mA
2023-04-10 02:23:40,42.00 mA
2023-04-10 02:23:50,42.00 mA
2023-04-10 02:24:00,44.00 mA
2023-04-10 02:24:10,43.00 mA
2023-04-10 02:24:20,42.00 mA
2023-04-10 02:24:30,41.00 mA
2023-04-10 02:24:40,41.00 mA
2023-04-10 02:24:50,41.00 mA
2023-04-10 02:25:00,40.00 mA
2023-04-10 02:25:10,40.00 mA
2023-04-10 02:25:20,40.00 mA
2023-04-10 02:25:30,40.00 mA
2023-04-10 02:25:40,40.00 mA
2023-04-10 02:25:50,40.00 mA
2023-04-10 02:26:00,39.00 mA
2023-04-10 02:26:10,40.00 mA
2023-04-10 02:26:20,40.00 mA
2023-04-10 02:26:30,39.00 mA
2023-04-10 02:26:40,39.00 mA
2023-04-10 02:26:50,39.00 mA
2023-04-10 02:27:00,37.00 mA
2023-04-10 02:27:10,37.00 mA
2023-04-10 02:27:20,38.00 mA
2023-04-10 02:27:30,38.00 mA
2023-04-10 02:27:40,38.00 mA
2023-04-10 02:27:50,37.00 mA
