voltage(V), current(mA), battery_percent, battery_temperature(Celsius), remaining_battery_charge(mAh), battery_capacity(mAh), battery_technology
3.768,-2725.832,1,32.5,153.85,3080,Unknown
3.768,-2940.981,1,32.5,153.85,3080,Unknown
3.809,-2986.452,1,32.6,184.62,3080,Unknown
3.809,-2948,1,32.6,184.62,3080,Unknown
3.809,-2886.049,1,32.6,184.62,3080,Unknown
3.809,-2973.329,1,32.6,184.62,3080,Unknown
3.809,-2951.051,1,32.6,184.62,3080,Unknown
3.809,-2743.837,1,32.6,184.62,3080,Unknown
3.809,-2944.338,1,32.6,184.62,3080,Unknown
3.809,-2985.231,1,32.6,184.62,3080,Unknown
3.809,-2986.757,1,32.6,184.62,3080,Unknown
3.809,-2987.367,1,32.6,184.62,3080,Unknown
3.809,-2820.131,1,32.6,184.62,3080,Unknown
3.809,-2986.147,1,32.6,184.62,3080,Unknown
3.809,-2868.044,1,32.6,184.62,3080,Unknown
3.851,-2556.459,2,34.3,184.62,3080,Unknown
3.851,-2853.7,2,34.3,184.62,3080,Unknown
3.851,-2860.719,2,34.3,184.62,3080,Unknown
3.851,-2989.198,2,34.3,184.62,3080,Unknown
3.851,-2981.874,2,34.3,184.62,3080,Unknown
3.851,-2992.25,2,34.3,184.62,3080,Unknown
3.851,-2988.283,2,34.3,184.62,3080,Unknown
3.851,-2990.114,2,34.3,184.62,3080,Unknown
3.851,-2990.724,2,34.3,184.62,3080,Unknown
3.851,-2993.471,2,34.3,184.62,3080,Unknown
3.851,-2990.114,2,34.3,184.62,3080,Unknown
3.851,-2994.997,2,34.3,184.62,3080,Unknown
3.891,-2993.471,2,35.1,184.62,3080,Unknown
3.891,-2987.978,2,35.1,184.62,3080,Unknown
3.891,-2989.809,2,35.1,184.62,3080,Unknown
3.891,-2992.555,2,35.1,184.62,3080,Unknown
3.891,-2987.978,2,35.1,184.62,3080,Unknown
3.891,-2992.25,2,35.1,184.62,3080,Unknown
3.891,-2994.081,2,35.1,184.62,3080,Unknown
3.891,-2990.419,2,35.1,184.62,3080,Unknown
3.891,-2988.588,2,35.1,184.62,3080,Unknown
3.891,-2989.809,2,35.1,184.62,3080,Unknown
