voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
3.314,-3786.25,1,34.1,170,4410,Li-ion
3.647,-3979.375,1,34.1,172,4410,Li-ion
3.647,-3987.812,1,34.1,174,4410,Li-ion
3.647,-3980.625,1,34.1,174,4410,Li-ion
3.647,-3983.437,1,34.1,176,4410,Li-ion
3.647,-3976.25,1,34.1,176,4410,Li-ion
3.647,-3980.937,1,34.1,178,4410,Li-ion
3.647,-3965,1,34.1,178,4410,Li-ion
3.647,-3982.187,1,34.1,180,4410,Li-ion
3.647,-3975.312,1,34.1,180,4410,Li-ion
3.647,-3988.125,1,34.1,190,4410,Li-ion
3.77,-3984.687,1,35,192,4410,Li-ion
3.77,-3993.437,1,35,192,4410,Li-ion
3.77,-3970,1,35,194,4410,Li-ion
3.77,-3979.062,1,35,194,4410,Li-ion
3.77,-3980.312,1,35,196,4410,Li-ion
3.77,-3915.625,1,35,196,4410,Li-ion
3.77,-3956.562,1,35,198,4410,Li-ion
3.77,-3998.125,1,35,200,4410,Li-ion
3.77,-3979.687,1,35,200,4410,Li-ion
3.77,-3975.312,1,35,202,4410,Li-ion
3.77,-3998.125,1,35,202,4410,Li-ion
3.77,-3977.5,1,35,204,4410,Li-ion
3.77,-3975.312,1,35,204,4410,Li-ion
3.77,-3979.375,1,35,206,4410,Li-ion
3.77,-3983.437,1,35,208,4410,Li-ion
3.868,-3985.937,2,37.1,224,4410,Li-ion
3.868,-3987.187,2,37.1,226,4410,Li-ion
3.883,-3984.062,2,37.3,232,4410,Li-ion
3.892,-3995,2,37.4,236,4410,Li-ion
3.946,-3971.875,3,37.9,270,4410,Li-ion
3.946,-3983.437,3,37.9,270,4410,Li-ion
3.946,-3980.312,3,37.9,272,4410,Li-ion
3.953,-3968.75,3,38,276,4410,Li-ion
3.985,-3984.062,4,38.3,302,4410,Li-ion
3.985,-3982.5,4,38.3,304,4410,Li-ion
3.985,-3971.875,4,38.3,306,4410,Li-ion
3.999,-3974.062,4,38.4,318,4410,Li-ion
3.999,-3974.687,4,38.4,320,4410,Li-ion
3.999,-3985,4,38.4,322,4410,Li-ion
4.02,-3982.812,5,38.8,352,4410,Li-ion
4.02,-3980.625,5,38.8,352,4410,Li-ion
4.026,-3979.687,5,38.8,362,4410,Li-ion
4.029,-3982.187,5,38.9,370,4410,Li-ion
4.037,-3983.125,6,39.3,402,4410,Li-ion
4.037,-3991.875,6,39.3,404,4410,Li-ion
4.036,-3983.75,6,39.3,406,4410,Li-ion
4.04,-3980,7,39.6,436,4410,Li-ion
4.04,-3968.437,7,39.6,436,4410,Li-ion
4.042,-3983.75,7,39.8,450,4410,Li-ion
4.046,-3981.875,8,40.1,482,4410,Li-ion
4.046,-3974.062,8,40.1,484,4410,Li-ion
4.049,-3986.875,8,40.2,492,4410,Li-ion
4.049,-3983.437,8,40.3,502,4410,Li-ion
4.048,-3914.687,9,40.6,536,4410,Li-ion
4.054,-3977.5,9,40.7,536,4410,Li-ion
4.054,-3988.125,9,40.7,550,4410,Li-ion
4.054,-3517.812,9,40.7,552,4410,Li-ion
4.054,-3985.312,9,40.7,552,4410,Li-ion
4.06,-3989.062,10,40.9,568,4410,Li-ion
4.06,-3984.062,10,40.9,570,4410,Li-ion
4.06,-3982.812,10,40.9,570,4410,Li-ion
4.062,-3986.875,10,41,580,4410,Li-ion
4.062,-3977.5,10,41,586,4410,Li-ion
4.062,-3980.625,10,41,586,4410,Li-ion
4.065,-3984.687,11,41.3,602,4410,Li-ion
4.065,-3968.437,11,41.3,604,4410,Li-ion
4.065,-3994.687,11,41.3,608,4410,Li-ion
4.068,-3990.312,11,41.4,624,4410,Li-ion
4.068,-3983.125,11,41.4,626,4410,Li-ion
4.068,-3982.5,11,41.5,634,4410,Li-ion
4.071,-3982.187,12,41.6,650,4410,Li-ion
4.071,-3971.875,12,41.6,650,4410,Li-ion
4.071,-3923.75,12,41.6,652,4410,Li-ion
4.071,-3982.187,12,41.6,652,4410,Li-ion
4.071,-3901.562,12,41.6,654,4410,Li-ion
4.071,-3967.812,12,41.6,656,4410,Li-ion
4.071,-3975,12,41.6,656,4410,Li-ion
4.071,-3976.875,12,41.6,658,4410,Li-ion
4.071,-3984.062,12,41.6,660,4410,Li-ion
4.071,-3974.687,12,41.6,660,4410,Li-ion
4.075,-3979.062,12,41.7,668,4410,Li-ion
4.04,-3370,13,42,700,4410,Li-ion
