timestamp,voltage(V),current(mA),power(W),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
2023-04-14 10:44:18.279,3.767,2501,9.422103274000001,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:19.312,3.767,2973,11.202831980000001,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:20.335,3.767,2966,11.172940835,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:21.367,3.767,2807,10.577449708,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:22.388,3.767,2985,11.245365177,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:23.409,3.767,2983,11.239616735,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:24.430,3.767,2819,10.619982905,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:25.448,3.767,2850,10.738394782999999,1,35.3,61.24,3080,Unknown
2023-04-14 10:44:26.466,3.784,2381,9.011947911999998,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:27.486,3.784,2380,9.007327647999999,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:28.522,3.784,2385,9.02695904,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:29.551,3.784,2384,9.021184656,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:30.580,3.784,2386,9.031579304,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:31.601,3.784,2389,9.043128071999998,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:32.633,3.784,2387,9.032733423999998,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:33.665,3.784,2383,9.020030535999998,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:34.700,3.784,2389,9.041973952,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:35.735,3.784,2390,9.046590431999999,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:36.774,3.784,2391,9.050056576,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:37.814,3.784,2387,9.035045448,1,36.0,61.24,3080,Unknown
2023-04-14 10:44:38.857,3.815,2388,9.111391204999999,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:39.892,3.815,2391,9.121867195,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:40.932,3.815,2391,9.125361735,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:41.973,3.815,2390,9.11837647,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:43.011,3.815,2390,9.120703619999999,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:44.053,3.815,2388,9.11255478,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:45.088,3.815,2385,9.1009114,2,36.8,61.24,3080,Unknown
2023-04-14 10:44:46.126,3.815,2389,9.11604932,2,36.8,61.24,3080,Unknown
