timestamp,voltage(V),current(mA),power(W),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
19:30:08.484,3.314,3786,12.5476325,1,34.1,170,4410,Li-ion
19:30:09.527,3.647,3979,14.512780625,1,34.1,172,4410,Li-ion
19:30:10.576,3.647,3987,14.543550364,1,34.1,174,4410,Li-ion
19:30:11.622,3.647,3980,14.517339374999999,1,34.1,174,4410,Li-ion
19:30:12.652,3.647,3983,14.527594739,1,34.1,176,4410,Li-ion
19:30:13.678,3.647,3976,14.501383749999999,1,34.1,176,4410,Li-ion
19:30:14.716,3.647,3980,14.518477239,1,34.1,178,4410,Li-ion
19:30:15.766,3.647,3965,14.460354999999998,1,34.1,178,4410,Li-ion
19:30:16.835,3.647,3982,14.523035988999998,1,34.1,180,4410,Li-ion
19:30:17.887,3.647,3975,14.497962863999998,1,34.1,180,4410,Li-ion
19:30:25.543,3.647,3988,14.544691875,1,34.1,190,4410,Li-ion
19:30:27.055,3.77,3984,15.02226999,1,35.0,192,4410,Li-ion
19:30:28.095,3.77,3993,15.055257489999999,1,35.0,192,4410,Li-ion
19:30:29.159,3.77,3970,14.9669,1,35.0,194,4410,Li-ion
19:30:30.200,3.77,3979,15.00106374,1,35.0,194,4410,Li-ion
19:30:31.232,3.77,3980,15.005776240000001,1,35.0,196,4410,Li-ion
19:30:32.267,3.77,3915,14.76190625,1,35.0,196,4410,Li-ion
19:30:33.304,3.77,3956,14.916238739999999,1,35.0,198,4410,Li-ion
19:30:34.347,3.77,3998,15.07293125,1,35.0,200,4410,Li-ion
19:30:35.387,3.77,3979,15.00341999,1,35.0,200,4410,Li-ion
19:30:36.417,3.77,3975,14.986926239999999,1,35.0,202,4410,Li-ion
19:30:37.457,3.77,3998,15.07293125,1,35.0,202,4410,Li-ion
19:30:38.483,3.77,3977,14.995175,1,35.0,204,4410,Li-ion
19:30:39.511,3.77,3975,14.986926239999999,1,35.0,204,4410,Li-ion
19:30:40.557,3.77,3979,15.00224375,1,35.0,206,4410,Li-ion
19:30:41.596,3.77,3983,15.01755749,1,35.0,208,4410,Li-ion
19:30:57.046,3.868,3985,15.417604315999998,2,37.1,224,4410,Li-ion
19:30:58.086,3.868,3987,15.422439316,2,37.1,226,4410,Li-ion
19:31:03.707,3.883,3984,15.470112746,2,37.3,232,4410,Li-ion
19:31:08.047,3.892,3995,15.548540000000001,2,37.4,236,4410,Li-ion
19:31:38.057,3.946,3971,15.67301875,3,37.9,270,4410,Li-ion
19:31:39.095,3.946,3983,15.718642402,3,37.9,270,4410,Li-ion
19:31:40.136,3.946,3980,15.706311152000001,3,37.9,272,4410,Li-ion
19:31:43.056,3.953,3968,15.68846875,3,38.0,276,4410,Li-ion
19:32:08.047,3.985,3984,15.876487069999998,4,38.3,302,4410,Li-ion
19:32:09.102,3.985,3982,15.870262499999999,4,38.3,304,4410,Li-ion
19:32:10.193,3.985,3971,15.827921875,4,38.3,306,4410,Li-ion
19:32:22.424,3.999,3974,15.892273938,4,38.4,318,4410,Li-ion
19:32:23.470,3.999,3974,15.894773313,4,38.4,320,4410,Li-ion
19:32:24.505,3.999,3985,15.936015,4,38.4,322,4410,Li-ion
19:32:52.037,4.02,3982,16.01090424,5,38.8,352,4410,Li-ion
19:32:53.074,4.02,3980,16.0021125,5,38.8,352,4410,Li-ion
19:33:01.798,4.026,3979,16.022219861999996,5,38.8,362,4410,Li-ion
19:33:08.043,4.029,3982,16.044231423,5,38.9,370,4410,Li-ion
19:33:38.048,4.037,3983,16.079875625,6,39.3,402,4410,Li-ion
19:33:39.091,4.037,3991,16.115199375,6,39.3,404,4410,Li-ion
19:33:41.107,4.036,3983,16.078415,6,39.3,406,4410,Li-ion
19:34:08.086,4.04,3980,16.0792,7,39.6,436,4410,Li-ion
19:34:09.155,4.04,3968,16.03248548,7,39.6,436,4410,Li-ion
19:34:20.490,4.042,3983,16.102317499999998,7,39.8,450,4410,Li-ion
19:34:50.038,4.046,3981,16.11066625,8,40.1,482,4410,Li-ion
19:34:51.078,4.046,3974,16.079054852000002,8,40.1,484,4410,Li-ion
19:34:59.854,4.049,3986,16.142856875,8,40.2,492,4410,Li-ion
19:35:08.049,4.049,3983,16.128936413,8,40.3,502,4410,Li-ion
19:35:38.050,4.048,3914,15.846652976,9,40.6,536,4410,Li-ion
19:35:39.126,4.054,3977,16.124785000000003,9,40.7,536,4410,Li-ion
19:35:52.013,4.054,3988,16.16785875,9,40.7,550,4410,Li-ion
19:35:53.066,4.054,3517,14.261209848,9,40.7,552,4410,Li-ion
19:35:54.095,4.054,3985,16.156454848,9,40.7,552,4410,Li-ion
19:36:08.061,4.06,3989,16.19559172,10,40.9,568,4410,Li-ion
19:36:09.112,4.06,3984,16.175291719999997,10,40.9,570,4410,Li-ion
19:36:10.195,4.06,3982,16.17021672,10,40.9,570,4410,Li-ion
19:36:18.571,4.062,3986,16.19468625,10,41.0,580,4410,Li-ion
19:36:24.015,4.062,3977,16.156605000000003,10,41.0,586,4410,Li-ion
19:36:25.051,4.062,3980,16.16929875,10,41.0,586,4410,Li-ion
19:36:39.080,4.065,3984,16.197752655000002,11,41.3,602,4410,Li-ion
19:36:40.132,4.065,3968,16.131696405,11,41.3,604,4410,Li-ion
19:36:44.014,4.065,3994,16.238402655,11,41.3,608,4410,Li-ion
19:36:58.287,4.068,3990,16.232589215999997,11,41.4,624,4410,Li-ion
19:36:59.330,4.068,3983,16.203352499999998,11,41.4,626,4410,Li-ion
19:37:08.042,4.068,3982,16.200809999999997,11,41.5,634,4410,Li-ion
19:37:21.217,4.071,3982,16.211483277,12,41.6,650,4410,Li-ion
19:37:22.250,4.071,3971,16.169503125,12,41.6,650,4410,Li-ion
19:37:23.290,4.071,3923,15.973586249999999,12,41.6,652,4410,Li-ion
19:37:24.328,4.071,3982,16.211483277,12,41.6,652,4410,Li-ion
19:37:26.266,4.071,3901,15.883258901999998,12,41.6,654,4410,Li-ion
19:37:27.318,4.071,3967,16.152962652,12,41.6,656,4410,Li-ion
19:37:28.371,4.071,3975,16.182225,12,41.6,656,4410,Li-ion
19:37:29.421,4.071,3976,16.189858125,12,41.6,658,4410,Li-ion
19:37:30.464,4.071,3984,16.219116401999997,12,41.6,660,4410,Li-ion
19:37:31.528,4.071,3974,16.180950777,12,41.6,660,4410,Li-ion
