voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
3.36,1595,1,37.1,0,4370,Li-ion
3.36,-1434,1,37.1,0,4370,Li-ion
3.36,-565,1,37.1,0,4370,Li-ion
3.36,-1654,1,37.1,0,4370,Li-ion
3.36,-884,1,37.1,0,4370,Li-ion
3.36,-978,1,37.1,0,4370,Li-ion
3.36,-1325,1,37.1,0,4370,Li-ion
3.36,-1410,1,37.1,0,4370,Li-ion
3.36,-1782,1,37.1,0,4370,Li-ion
3.517,-1623,1,36.7,0,4370,Li-ion
3.517,-1877,1,36.7,0,4370,Li-ion
3.517,-1895,1,36.7,0,4370,Li-ion
3.517,-1733,1,36.7,0,4370,Li-ion
3.517,-2254,1,36.7,0,4370,Li-ion
3.517,-2763,1,36.7,0,4370,Li-ion
3.517,-3955,1,36.7,0,4370,Li-ion
3.517,-4654,1,36.7,0,4370,Li-ion
3.517,-4810,1,36.7,0,4370,Li-ion
3.517,-4887,1,36.7,0,4370,Li-ion
3.697,-4911,1,37,0,4370,Li-ion
3.697,-4897,1,37,0,4370,Li-ion
3.697,-4869,1,37,0,4370,Li-ion
3.697,-4749,1,37,0,4370,Li-ion
3.697,-4877,1,37,0,4370,Li-ion
3.697,-4800,1,37,0,4370,Li-ion
3.697,-4930,1,37,0,4370,Li-ion
3.697,-4813,1,37,0,4370,Li-ion
3.697,-4913,1,37,0,4370,Li-ion
3.697,-4819,1,37,0,4370,Li-ion
3.745,-4709,1,37.5,8.264,4370,Li-ion
3.745,-4885,1,37.5,8.264,4370,Li-ion
3.745,-4712,1,37.5,8.264,4370,Li-ion
3.745,-4817,1,37.5,8.264,4370,Li-ion
3.745,-4903,1,37.5,8.264,4370,Li-ion
3.745,-4851,1,37.5,8.264,4370,Li-ion
3.745,-4783,1,37.5,8.264,4370,Li-ion
3.745,-4863,1,37.5,8.264,4370,Li-ion
3.745,-4811,1,37.5,8.264,4370,Li-ion
3.77,-4701,1,37.8,20.66,4370,Li-ion
3.77,-4926,1,37.8,20.66,4370,Li-ion
3.77,-4912,1,37.8,20.66,4370,Li-ion
3.77,-4928,1,37.8,20.66,4370,Li-ion
3.77,-4817,1,37.8,20.66,4370,Li-ion
3.77,-4868,1,37.8,20.66,4370,Li-ion
3.77,-4771,1,37.8,20.66,4370,Li-ion
3.77,-4823,1,37.8,20.66,4370,Li-ion
3.77,-4766,1,37.8,20.66,4370,Li-ion
3.77,-4822,1,37.8,20.66,4370,Li-ion
3.807,-4669,1,38.1,37.188,4370,Li-ion
3.807,-4855,1,38.1,37.188,4370,Li-ion
3.807,-4784,1,38.1,37.188,4370,Li-ion
3.807,-4913,1,38.1,37.188,4370,Li-ion
3.807,-4898,1,38.1,37.188,4370,Li-ion
3.807,-4870,1,38.1,37.188,4370,Li-ion
3.807,-4891,1,38.1,37.188,4370,Li-ion
3.807,-4835,1,38.1,37.188,4370,Li-ion
3.807,-4789,1,38.1,37.188,4370,Li-ion
3.807,-4890,1,38.1,37.188,4370,Li-ion
3.828,-4789,1,38.3,49.584,4370,Li-ion
3.828,-4853,1,38.3,49.584,4370,Li-ion
