voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
3.733,-2314454,1,36.9,0,4400,Li-ion
3.492,-140075,1,36.6,0,4400,Li-ion
3.492,-386352,1,36.6,0,4400,Li-ion
3.492,-346374,1,36.6,0,4400,Li-ion
3.492,-382385,1,36.6,0,4400,Li-ion
3.618,-387878,1,36.6,0,4400,Li-ion
3.618,-312500,1,36.6,0,4400,Li-ion
3.618,-808716,1,36.6,0,4400,Li-ion
3.618,-647278,1,36.6,0,4400,Li-ion
3.618,-578308,1,36.6,0,4400,Li-ion
3.618,-417480,1,36.6,0,4400,Li-ion
3.618,-361938,1,36.6,0,4400,Li-ion
3.611,-362549,1,36.8,0,4400,Li-ion
3.818,-2113038,1,36.5,0,4400,Li-ion
3.928,-3355715,1,37.9,0,4400,Li-ion
4.003,-3811037,1,38.1,0,4400,Li-ion
4.013,-4004519,1,38.2,0,4400,Li-ion
4.029,-4007876,1,38.2,0,4400,Li-ion
4.037,-3841555,1,38.3,0,4400,Li-ion
4.041,-4004519,1,38.4,0,4400,Li-ion
4.046,-1766053,1,37.5,0,4400,Li-ion
3.807,-1279908,1,37.3,0,4400,Li-ion
3.783,-1737366,1,37.1,0,4400,Li-ion
3.827,-1887208,1,37,0,4400,Li-ion
3.813,-1848451,1,36.9,0,4400,Li-ion
3.837,-1926270,1,36.9,0,4400,Li-ion
3.848,-2013551,1,36.9,0,4400,Li-ion
3.849,-1864930,1,36.8,0,4400,Li-ion
3.823,-1933900,1,36.8,0,4400,Li-ion
3.845,-1955567,1,36.8,0,4400,Li-ion
3.827,-1961976,1,36.8,0,4400,Li-ion
3.83,-1890565,2,36.7,0,4400,Li-ion
3.844,-1778565,2,36.7,0,4400,Li-ion
3.846,-1978761,2,36.7,0,4400,Li-ion
3.847,-1968690,2,36.7,0,4400,Li-ion
3.853,-1961366,2,36.7,0,4400,Li-ion
3.842,-1864930,2,36.7,0,4400,Li-ion
3.852,-1928101,2,36.7,0,4400,Li-ion
3.851,-1991578,2,36.7,0,4400,Li-ion
3.857,-1851502,2,36.6,0,4400,Li-ion
3.845,-1970826,2,36.6,0,4400,Li-ion
3.855,-1949769,2,36.6,0,4400,Li-ion
3.844,-1946717,2,36.6,0,4400,Li-ion
3.85,-1906739,2,36.6,0,4400,Li-ion
3.856,-1875916,2,36.6,0,4400,Li-ion
3.855,-1919557,2,36.6,0,4400,Li-ion
3.834,-1875916,2,36.6,0,4400,Li-ion
3.852,-1826478,2,36.6,0,4400,Li-ion
3.841,-1896974,2,36.6,0,4400,Li-ion
3.843,-1902162,2,36.6,0,4400,Li-ion
3.86,-1871644,2,36.5,0,4400,Li-ion
3.847,-1887513,2,36.5,0,4400,Li-ion
3.848,-1806947,2,36.5,0,4400,Li-ion
3.857,-1738892,2,36.5,0,4400,Li-ion
3.861,-1853028,2,36.5,0,4400,Li-ion
3.853,-1839906,2,36.5,0,4400,Li-ion
3.86,-1632081,2,36.5,0,4400,Li-ion
3.859,-1853028,2,36.5,0,4400,Li-ion
3.861,-2434999,2,36.8,0,4400,Li-ion
4.078,-3995364,2,37.6,0,4400,Li-ion
4.086,-4002688,2,37.7,0,4400,Li-ion
4.091,-4011538,2,37.7,0,4400,Li-ion
4.098,-4032290,2,37.7,0,4400,Li-ion
4.098,-4032595,2,37.6,0,4400,Li-ion
4.11,-4038088,2,37.7,0,4400,Li-ion
4.11,-4042971,2,37.7,0,4400,Li-ion
4.11,-4033816,2,37.7,0,4400,Li-ion
4.11,-4041445,2,37.7,0,4400,Li-ion
4.11,-4035952,2,37.7,0,4400,Li-ion
4.11,-4033511,2,37.7,0,4400,Li-ion
4.11,-4035647,2,37.7,0,4400,Li-ion
4.128,-4040225,2,37.8,0,4400,Li-ion
4.128,-4029849,2,37.8,0,4400,Li-ion
4.128,-4033511,2,37.8,0,4400,Li-ion
4.128,-4038699,2,37.8,0,4400,Li-ion
4.128,-4033206,2,37.8,0,4400,Li-ion
4.137,-4037173,2,37.8,0,4400,Li-ion
4.137,-4026797,2,37.8,0,4400,Li-ion
4.137,-4030764,2,37.8,0,4400,Li-ion
4.137,-4030154,2,37.8,0,4400,Li-ion
4.148,-4041750,2,37.8,0,4400,Li-ion
4.149,-4035952,3,37.8,0,4400,Li-ion
4.149,-4034426,3,37.8,0,4400,Li-ion
3.941,-1785584,3,37.2,0,4400,Li-ion
3.946,-1969300,3,37,0,4400,Li-ion
3.953,-1824952,3,36.9,0,4400,Li-ion
3.953,-2065125,3,36.8,0,4400,Li-ion
3.951,-2014161,3,36.8,0,4400,Li-ion
3.944,-2019654,3,36.7,0,4400,Li-ion
3.946,-1754456,3,36.7,0,4400,Li-ion
3.926,-1852418,3,36.7,0,4400,Li-ion
3.931,-1953736,3,36.6,0,4400,Li-ion
3.933,-1910096,3,36.6,0,4400,Li-ion
3.94,-2006837,3,36.6,0,4400,Li-ion
3.94,-2080689,3,36.6,0,4400,Li-ion
3.942,-2070008,3,36.6,0,4400,Li-ion
3.92,-2017823,3,36.6,0,4400,Li-ion
3.928,-1943665,3,36.6,0,4400,Li-ion
3.908,-1918641,3,36.5,0,4400,Li-ion
3.929,-1973573,3,36.5,0,4400,Li-ion
3.919,-1838380,3,36.5,0,4400,Li-ion
3.932,-1864625,3,36.5,0,4400,Li-ion
3.933,-1770631,3,36.5,0,4400,Li-ion
3.933,-2006227,3,36.5,0,4400,Li-ion
3.927,-1930238,3,36.5,0,4400,Li-ion
3.933,-1810304,3,36.5,0,4400,Li-ion
3.934,-1990052,3,36.5,0,4400,Li-ion
3.93,-1954652,3,36.5,0,4400,Li-ion
3.925,-1918336,3,36.4,0,4400,Li-ion
3.917,-1875916,3,36.4,0,4400,Li-ion
3.934,-1993104,3,36.4,0,4400,Li-ion
3.917,-1854859,3,36.4,0,4400,Li-ion
3.874,-1508484,3,36.4,0,4400,Li-ion
3.92,-1721802,3,36.4,0,4400,Li-ion
3.909,-1719666,3,36.4,0,4400,Li-ion
3.915,-1832887,3,36.4,0,4400,Li-ion
3.922,-1487733,3,36.4,0,4400,Li-ion
3.926,-1925050,3,36.4,0,4400,Li-ion
3.926,-1880189,3,36.4,0,4400,Li-ion
3.903,-1723023,3,36.4,0,4400,Li-ion
3.918,-1894227,3,36.4,0,4400,Li-ion
3.921,-1878053,3,36.4,0,4400,Li-ion
4.058,-4022830,3,37.2,0,4400,Li-ion
4.131,-4012454,3,37.4,0,4400,Li-ion
4.137,-4015505,3,37.5,0,4400,Li-ion
4.14,-4026492,3,37.5,0,4400,Li-ion
4.14,-4035952,3,37.5,0,4400,Li-ion
4.14,-4034426,3,37.5,0,4400,Li-ion
4.152,-4045107,3,37.6,0,4400,Li-ion
4.152,-4032290,3,37.6,0,4400,Li-ion
4.152,-4035647,3,37.6,0,4400,Li-ion
4.152,-4036868,3,37.6,0,4400,Li-ion
4.152,-4033206,3,37.6,0,4400,Li-ion
4.152,-4035342,3,37.6,0,4400,Li-ion
4.156,-4035647,4,37.8,0,4400,Li-ion
4.156,-4032900,4,37.8,0,4400,Li-ion
