timestamp,voltage(V),current(mA),power(W),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
2023-04-14 17:12:33.937,3.733,2314,8.638162000000001,1,36.9,0.0,4400,Li-ion
2023-04-14 17:12:35.074,3.492,140,0.48888,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:36.137,3.492,386,1.347912,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:37.183,3.492,346,1.208232,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:38.228,3.492,382,1.333944,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:39.298,3.618,387,1.400166,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:40.423,3.618,312,1.128816,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:41.519,3.618,808,2.923344,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:42.563,3.618,647,2.340846,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:43.594,3.618,578,2.091204,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:44.893,3.618,417,1.508706,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:46.050,3.618,361,1.306098,1,36.6,0.0,4400,Li-ion
2023-04-14 17:12:47.115,3.611,362,1.307182,1,36.8,0.0,4400,Li-ion
2023-04-14 17:12:48.178,3.818,2113,8.067434,1,36.5,0.0,4400,Li-ion
2023-04-14 17:12:49.223,3.928,3355,13.17844,1,37.9,0.0,4400,Li-ion
2023-04-14 17:12:50.298,4.003,3811,15.255433,1,38.1,0.0,4400,Li-ion
2023-04-14 17:12:51.359,4.013,4004,16.068051999999998,1,38.2,0.0,4400,Li-ion
2023-04-14 17:12:52.397,4.029,4007,16.144202999999997,1,38.2,0.0,4400,Li-ion
2023-04-14 17:12:53.428,4.037,3841,15.506117,1,38.3,0.0,4400,Li-ion
2023-04-14 17:12:54.500,4.041,4004,16.180164,1,38.4,0.0,4400,Li-ion
2023-04-14 17:12:55.552,4.046,1766,7.145236000000001,1,37.5,0.0,4400,Li-ion
2023-04-14 17:12:56.598,3.807,1279,4.869153,1,37.3,0.0,4400,Li-ion
2023-04-14 17:12:57.645,3.783,1737,6.571071,1,37.1,0.0,4400,Li-ion
2023-04-14 17:12:58.688,3.827,1887,7.221548999999999,1,37.0,0.0,4400,Li-ion
2023-04-14 17:12:59.734,3.813,1848,7.046424000000001,1,36.9,0.0,4400,Li-ion
2023-04-14 17:13:00.778,3.837,1926,7.390062,1,36.9,0.0,4400,Li-ion
2023-04-14 17:13:01.835,3.848,2013,7.746023999999999,1,36.9,0.0,4400,Li-ion
2023-04-14 17:13:02.885,3.849,1864,7.174536000000001,1,36.8,0.0,4400,Li-ion
2023-04-14 17:13:03.961,3.823,1933,7.389859,1,36.8,0.0,4400,Li-ion
2023-04-14 17:13:05.022,3.845,1955,7.516975,1,36.8,0.0,4400,Li-ion
2023-04-14 17:13:06.090,3.827,1961,7.504747,1,36.8,0.0,4400,Li-ion
2023-04-14 17:13:07.148,3.83,1890,7.2387,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:08.191,3.844,1778,6.834632,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:09.240,3.846,1978,7.607388,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:10.297,3.847,1968,7.570895999999999,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:11.355,3.853,1961,7.555733000000001,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:12.413,3.842,1864,7.161488,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:13.458,3.852,1928,7.426655999999999,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:14.514,3.851,1991,7.667341,2,36.7,0.0,4400,Li-ion
2023-04-14 17:13:15.564,3.857,1851,7.1393070000000005,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:16.612,3.845,1970,7.57465,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:17.674,3.855,1949,7.513395,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:18.719,3.844,1946,7.480423999999999,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:19.769,3.85,1906,7.3381,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:20.833,3.856,1875,7.229999999999999,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:21.891,3.855,1919,7.397745,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:22.952,3.834,1875,7.18875,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:24.016,3.852,1826,7.033752,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:25.079,3.841,1896,7.282536,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:26.139,3.843,1902,7.309386,2,36.6,0.0,4400,Li-ion
2023-04-14 17:13:27.199,3.86,1871,7.22206,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:28.259,3.847,1887,7.259289,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:29.315,3.848,1806,6.949488,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:30.370,3.857,1738,6.703466000000001,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:31.425,3.861,1853,7.154433,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:32.482,3.853,1839,7.085667,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:33.544,3.86,1632,6.299519999999999,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:34.609,3.859,1853,7.150727,2,36.5,0.0,4400,Li-ion
2023-04-14 17:13:35.661,3.861,2434,9.397674,2,36.8,0.0,4400,Li-ion
2023-04-14 17:13:36.737,4.078,3995,16.291610000000002,2,37.6,0.0,4400,Li-ion
2023-04-14 17:13:37.789,4.086,4002,16.352172,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:38.842,4.091,4011,16.409001,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:39.920,4.098,4032,16.523136,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:40.978,4.098,4032,16.523136,2,37.6,0.0,4400,Li-ion
2023-04-14 17:13:43.787,4.11,4038,16.596180000000004,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:45.035,4.11,4042,16.61262,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:46.122,4.11,4033,16.575630000000004,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:47.245,4.11,4041,16.608510000000003,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:48.296,4.11,4035,16.58385,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:49.355,4.11,4033,16.575630000000004,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:50.409,4.11,4035,16.58385,2,37.7,0.0,4400,Li-ion
2023-04-14 17:13:52.002,4.128,4040,16.677120000000002,2,37.8,0.0,4400,Li-ion
2023-04-14 17:13:53.045,4.128,4029,16.631712,2,37.8,0.0,4400,Li-ion
2023-04-14 17:13:54.092,4.128,4033,16.648224000000003,2,37.8,0.0,4400,Li-ion
2023-04-14 17:13:58.347,4.128,4038,16.668864000000003,2,37.8,0.0,4400,Li-ion
2023-04-14 17:13:59.400,4.128,4033,16.648224000000003,2,37.8,0.0,4400,Li-ion
2023-04-14 17:14:00.453,4.137,4037,16.701068999999997,2,37.8,0.0,4400,Li-ion
2023-04-14 17:14:01.606,4.137,4026,16.655561999999996,2,37.8,0.0,4400,Li-ion
2023-04-14 17:14:02.648,4.137,4030,16.67211,2,37.8,0.0,4400,Li-ion
2023-04-14 17:14:04.097,4.137,4030,16.67211,2,37.8,0.0,4400,Li-ion
2023-04-14 17:14:08.302,4.148,4041,16.762068,2,37.8,0.0,4400,Li-ion
2023-04-14 17:14:09.349,4.149,4035,16.741215,3,37.8,0.0,4400,Li-ion
2023-04-14 17:14:10.412,4.149,4034,16.737066,3,37.8,0.0,4400,Li-ion
2023-04-14 17:14:16.465,3.941,1785,7.034685,3,37.2,0.0,4400,Li-ion
2023-04-14 17:14:17.549,3.946,1969,7.769674000000001,3,37.0,0.0,4400,Li-ion
2023-04-14 17:14:18.597,3.953,1824,7.210272,3,36.9,0.0,4400,Li-ion
2023-04-14 17:14:19.660,3.953,2065,8.162944999999999,3,36.8,0.0,4400,Li-ion
2023-04-14 17:14:20.708,3.951,2014,7.957313999999999,3,36.8,0.0,4400,Li-ion
2023-04-14 17:14:21.766,3.944,2019,7.962936,3,36.7,0.0,4400,Li-ion
2023-04-14 17:14:22.812,3.946,1754,6.921284,3,36.7,0.0,4400,Li-ion
2023-04-14 17:14:23.853,3.926,1852,7.270952,3,36.7,0.0,4400,Li-ion
2023-04-14 17:14:24.883,3.931,1953,7.677243000000001,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:25.942,3.933,1910,7.512029999999999,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:27.019,3.94,2006,7.903639999999999,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:28.075,3.94,2080,8.1952,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:29.136,3.942,2070,8.159939999999999,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:30.197,3.92,2017,7.906639999999999,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:31.247,3.928,1943,7.632104,3,36.6,0.0,4400,Li-ion
2023-04-14 17:14:32.295,3.908,1918,7.495544,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:33.355,3.929,1973,7.751917,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:34.482,3.919,1838,7.2031220000000005,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:35.555,3.932,1864,7.329248000000001,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:36.611,3.933,1770,6.96141,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:37.654,3.933,2006,7.889597999999999,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:38.702,3.927,1930,7.57911,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:39.745,3.933,1810,7.11873,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:40.788,3.934,1990,7.82866,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:41.847,3.93,1954,7.67922,3,36.5,0.0,4400,Li-ion
2023-04-14 17:14:42.901,3.925,1918,7.528149999999999,3,36.4,0.0,4400,Li-ion
2023-04-14 17:14:43.959,3.917,1875,7.344374999999999,3,36.4,0.0,4400,Li-ion
2023-04-14 17:14:44.998,3.934,1993,7.840462,3,36.4,0.0,4400,Li-ion
2023-04-14 17:14:46.038,3.917,1854,7.262118,3,36.4,0.0,4400,Li-ion
